record.copyrightText	count
Instituto Nacional de Estadísticas (INE), Ministerio de Economía, Fomento y Turismo, Ministerio de Obras Públicas, Ministerio de Vivienda y Urbanismo, Ministerio de Desarrollo Social, Servicio de Impuestos Internos (SII) y Policía de Investigaciones de Chile (PDI), Ide Chile.	1
Subsecretaría deTransportes Programa deVialidad y Transporte Urbano: SECTRA	1
(c) Bayerische Landesbibliothek	1
Credits :QA/QC Divesion – Luay Mazboudi	1
Havforskningsinstituttet/Fiskeridirektoratet	1
EMSA	1
Fiskeridirektoratet / Havforskningsinstitutet	1
Luftfartstilsynet	1
Fiskeridirektoratet / Akvakulturregister	1
FH	1
KT	1
DGRM/ DSAS/DMA	1
DGRM/ DSAS / DMA	1
The study was conducted at Stanford's Spatial History Lab (spatialhistory.stanford.edu) in support of the Holocaust Geographies Project. The research was made possible through funding provided by NSF Award 0820501, Mellon Distinguished Professor Grant (Richard White), and the Vice Provost for Undergraduate Education at Stanford.

Historical research and digitization completed by Michael De Groot (mdegroot@stanford.edu) in Summer 2010. Technical support and project management by Erik Steiner (ebs110@stanford.edu). Additional support provided by Kathy Harris, Anne Knowles, Alberto Giordano, Marc Masurovsky, Pavel Ilyin, and others at the US Holocaust Memorial Museum and Center for Advanced Holocaust Studies. Military front line data provided by James Graham. Modern Europe data by ESRI.	1
Lantmäteriet
Mosaik skapad och georefererad av Eslövs GIS-enhet 2022	1
Lantmäteriet
Mosaik skapad och georefererad av Eslövs GIS-enhet 2023	1
Generated by EIM for internal Reference Purpose.	1
Created by the Environment Agency - Abu Dhabi	1
Created by Environment Agency Abu Dhabi as part of the Environmental Baseline Data for Abu Dhabi project. Data Origin:EAD	1
Created by Environment Agency Abu Dhabi as part of the Environmental Baseline Data for Abu Dhabi project.	1
Created by Environment Agency- Abu Dhabi	1
Source Agency: EAD (2008) and DCI (2017/18)
Collection Agency: EAD and DCI
Maintenance Agency: EAD
Custodial Agency: EAD
Contact: EAD - Environment Information, Science & Outreach Management (EISOM)	1
Created by Environment Agency - Abu Dhabi.

Data Supplied by:NILU (Norwegian Institute for Air Research).	1
Created by Environment Agency Abu Dhabi	1
Halcrow - Abu Dhabi	1
Contact: EAD - Environment Information, Science & Outreach Management (EISOM)	1
