record.license_id	count
cc-by-sa-1-fi	1
25	1
CC BY-ND 4.0	1
CC-BY-SA-NZ-3.0	1
government-open-license-newfoundland	1
AGPL-3.0	1
APL-1.0	1
RPL-1.5	1
https://creativecommons.org/licenses/by-nc-nd/4.0	1
http://www.pnas.org/site/aboutpnas/licenses.xhtml	1
https://www.sciencemag.org/about/science-licenses-journal-article-reuse	1
http://onlinelibrary.wiley.com/termsAndConditions#am	1
http://www.pnas.org/site/misc/userlicense.xhtml	1
http://creativecommons.org/licenses/by-nc/3.0/	1
https://www.pnas.org/site/aboutpnas/licenses.xhtml	1
http://creativecommons.org/licenses/by-nc-nd/3.0	1
http://creativecommons.org/licenses/by-nc-nd/4.0	1
NF-FONTE	1
CC-BY-NC-SA-2.5-AU	1
GNU Free Documentation License	1
Attribution 3.0 Australia (CC BY 3.0 AU)	1
Creative Commons Attribution 4.0 International, http://creativecommons.org/licenses/by/4.0/, (c) Commonwealth of Australia (Bioregional Assessment Programme http://www.bioregionalassessments.gov.au), (c) State of New South Wales (Office of Water), (c) New South Wales Department of Primary Industries, (c) Commonwealth of Australia (Department of the Environment) 2014, (c) NSW Department of Environment, Climate Change and Water, (c) Office of Environment and Heritage NSW, (c) Commonwealth of Australia (Department of the Environment) 2013, (c) Commonwealth of Australia (Bureau of Meteorology), (c) Australian Heritage Council, Australian Government Department of the Environment, (c) State of New South Wales through Department of Industry, Skills and Regional Development 2015., (c)BirdLife Australia 2005-2007, (c) CSIRO, (c) Commonwealth of Australia (Department of the Environment), (c) NSW Department of Planning and Environment, (c)Murray-Darling Basin Authority., (c) Commonwealth of Australia (Bureau of Meteorology) 2012	1
