record.license_title	count
Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported	1
Creative Commons Nimeä-Tarttuva 1.0 Suomi (CC BY-SA 1.0)	1
Creative Commons Atribución Compartir-Igual 4.0	1
Creative Commons Atribución No Comercial 4.0	1
King's Printer Licence - British Columbia	1
CC BY-ND 4.0	1
Creative Commons Attribution-ShareAlike 4.0 International	1
Creative Commons Attribution-ShareAlike Works 3.0 New Zealand	1
government-open-license-newfoundland	1
GNU Affero General Public License v3	1
Creative Commons Attribution-NoDerivs 4.0	1
Adaptive Public License 1.0	1
Reciprocal Public License 1.5	1
https://creativecommons.org/licenses/by-nc-nd/4.0	1
http://www.pnas.org/site/aboutpnas/licenses.xhtml	1
https://www.sciencemag.org/about/science-licenses-journal-article-reuse	1
http://onlinelibrary.wiley.com/termsAndConditions#am	1
http://www.pnas.org/site/misc/userlicense.xhtml	1
http://creativecommons.org/licenses/by-nc/3.0/	1
https://www.pnas.org/site/aboutpnas/licenses.xhtml	1
http://creativecommons.org/licenses/by-nc-nd/3.0	1
http://creativecommons.org/licenses/by-nc-nd/4.0	1
その他 (表示)	1
Licença de Atribuição do Open Data Commons	1
Creative Commons Atribuição e Compartilhamento pela mesma Licença	1
Nao Fornecida. Consulte a Fonte dos Dados	1
Open Government Licence do Reino Unido (OGL)	1
Creative Commons Attribution-NonCommercial-ShareAlike 2.5 Australia (CC BY-NC-SA 2.5 AU)	1
クリエイティブ・コモンズ 0	1
Attribution 3.0 Australia (CC BY 3.0 AU)	1
GFDL	1
Creative Commons Attribution 4.0 International, http://creativecommons.org/licenses/by/4.0/, (c) Commonwealth of Australia (Bioregional Assessment Programme http://www.bioregionalassessments.gov.au), (c) State of New South Wales (Office of Water), (c) New South Wales Department of Primary Industries, (c) Commonwealth of Australia (Department of the Environment) 2014, (c) NSW Department of Environment, Climate Change and Water, (c) Office of Environment and Heritage NSW, (c) Commonwealth of Australia (Department of the Environment) 2013, (c) Commonwealth of Australia (Bureau of Meteorology), (c) Australian Heritage Council, Australian Government Department of the Environment, (c) State of New South Wales through Department of Industry, Skills and Regional Development 2015., (c)BirdLife Australia 2005-2007, (c) CSIRO, (c) Commonwealth of Australia (Department of the Environment), (c) NSW Department of Planning and Environment, (c)Murray-Darling Basin Authority., (c) Commonwealth of Australia (Bureau of Meteorology) 2012	1
Creative Commons Attribution 4.0 International, http://creativecommons.org/licenses/by/4.0/, (c) Commonwealth of Australia (Bioregional Assessment Programme http://www.bioregionalassessments.gov.au), Australian Government Department of the Environment - Commonwealth Environmental Water Office (CEWO), (c) Commonwealth of Australia (Department of the Environment) 2014, (c) State of Queensland (Department of Science, Information Technology, Innovation and the Arts) 2014, (c) Commonwealth of Australia (Bureau of Meteorology) 2012, (c) Commonwealth of Australia 2014, (c) State of Queensland 2014, (c) State of Queensland (Office of Groundwater Impact Assessment), (c) State of Queensland (Department of Science, Information Technology, Innovation and the Arts) 2013, (c) Commonwealth of Australia (Bureau of Meteorology), (c) Australian Heritage Council, Australian Government Department of the Environment, (c) State of New South Wales (Office of Water), (c)BirdLife Australia 2005-2007, (c) State of Queensland, (c) Commonwealth of Australia (Department of the Environment), (c) State of Queensland (Department of Natural Resources and Mines) 2014, (c) State of Queensland (Department of Natural Resources and Mines), (c) Commonwealth of Australia (Geoscience Australia) 2013, (c) Commonwealth of Australia (Department of the Environment) 2013, (c) State of Queensland (Department of Environment and Heritage Protection) 2014, (c)Murray-Darling Basin Authority.	1
Creative Commons Attribution 4.0 International, http://creativecommons.org/licenses/by/4.0/, (c) Commonwealth of Australia (Bioregional Assessment Programme http://www.bioregionalassessments.gov.au), State of Victoria, (c) The Office of Minerals and Energy, State Electricity Commission of Victoria	1
