name	value
Reserva de todos los derechos	14612
Atribución-NoComercial-SinDerivadas 3.0 España	5331
http://creativecommons.org/licenses/by-nc-nd/4.0/deed.es	5237
Attribution-NonCommercial-NoDerivatives 4.0 Internacional	3199
Copyright © is held by the author. Digital access to this material is made possible by the University Libraries, University of Arizona.  Further transmission, reproduction or presentation (such as public display or performance) of protected items is prohibited except with permission of the author.	3042
"The digital object(s) attached to this record are available
for you to use for educational purposes only under licence from the
University of Exeter. Use of the object(s) must be compliant with the
terms of the licence agreement, full details are available on the
""Original Licence"" link below."	2580
Attribution-NonCommercial-NoDerivatives 4.0 International	1484
Απαγορεύεται η δημοσίευση ή αναπαραγωγή, ηλεκτρονική ή άλλη χωρίς τη γραπτή συγκατάθεση του δημιουργού και κάτοχου των πνευματικών δικαιωμάτων.	1341
info:eu-repo/semantics/openAccess	1270
Reconocimiento - No comercial - Sin obra derivada (by-nc-nd)	954
Creative Commons - Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0)	719
by-nc-nd	684
Reconocimiento (by)	669
The digital object(s) attached to this record are available for you to use for educational purposes only under licence from the University of Exeter. Use of the object(s) must be compliant with the terms of the licence agreement, full details are available on the ''Original Licence'' link below.	611
Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0) ; openAccess	593
Creative Commons Attribution 4.0 International Public License	585
Julkaisu on tekijänoikeussäännösten alainen. Teosta voi lukea ja tulostaa henkilökohtaista käyttöä varten. Käyttö kaupallisiin tarkoituksiin on kielletty.	574
© Elsevier	571
All Rights Reserved.	484
Creative Commons Attribution 4.0	480
Public Domain	449
Attribution 4.0 International	434
Creative Commons Attribution 4.0 International (CC BY 4.0) ; openAccess	433
Απαγορεύεται η δημοσίευση ή αναπαραγωγή, ηλεκτρονική ή άλλη χωρίς τη γραπτή συγκατάθεση του δημιουργού και κατόχου των πνευματικών δικαιωμάτων	406
Atribución-NoComercial-SinDerivadas 4.0 España	399
Creative Commons - Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0)	375
Reconocimiento - No comercial - Compartir igual (by-nc-sa)	366
Copyright © International Foundation for Telemetering	295
Copyright © Arizona Board of Regents. The University of Arizona.	290
Απαγορεύεται η δημοσίευση ή αναπαραγωγή, ηλεκτρονική ή άλλη χωρίς τη γραπτή συγκατάθεση του δημιουργού και κατόχου των πνευματικών δικαιωμάτων.	283
This publication is copyrighted. You may download, display and print it for Your own personal use. Commercial use is prohibited.	260
"This publication is copyrighted. You may download, display and
print it for Your own personal use. Commercial use is
prohibited."	258
The Finnish folk song database is available for research purposes (that is, noncommercial) provided that the attribution is maintained, i.e., you must give the original authors credit.	244
Permission to use or to order reproductions must be obtained from the University of Arizona Libraries, Special Collections. Contact us at askspecialcollections@u.library.arizona.edu, or (520) 621-6423.	241
This item is protected by copyright and unless otherwise specified the copyright of this thesis/dissertation is held by the author.	240
Attribution-NonCommercial-ShareAlike 2.0 UK	239
Atribución-NoComercial-SinDerivadas 3.0 España, Atribución-NoComercial-SinDerivadas 3.0 España	220
In Copyright	199
Attribution 4.0 International (CC BY 4.0)	193
CC BY 4.0	193
Copyright held by the author.	190
Creative Commons BY-NC-ND 4.0-US	185
Attribution-NonCommercial-NoDerivs 3.0 United States	184
