name	value
info:eu-repo/semantics/openAccess	5727
openAccess	1692
This material has a restricted access due to copyright reasons. It can be read at the workstation at Jyväskylä University Library reserved for the use of archival materials: https://kirjasto.jyu.fi/en/workspaces/facilities.	93
Aineistoon pääsyä on rajoitettu tekijänoikeussyistä. Aineisto on luettavissa Jyväskylän yliopiston kirjaston arkistotyöasemalta. Ks. https://kirjasto.jyu.fi/fi/tyoskentelytilat/laitteet-ja-tilat.	93
Aineistoon pääsyä on rajoitettu tekijänoikeussyistä. Aineisto on luettavissa Jyväskylän yliopiston kirjaston arkistotyöasemalta. Ks. https://kirjasto.jyu.fi/kokoelmat/arkistotyoasema.	60
This material has a restricted access due to copyright reasons. It can be read at the workstation at Jyväskylä University Library reserved for the use of archival materials: https://kirjasto.jyu.fi/collections/archival-workstation.	60
Aineistoon pääsyä on rajoitettu tekijänoikeussyistä. Aineisto on luettavissa Jyväskylän yliopiston kirjaston arkistotyöasemalta. Ks. https://kirjasto.jyu.fi/fi/tyoskentelytilat/laitteet-ja-tilat	29
This material has a restricted access due to copyright reasons. It can be read at the workstation at Jyväskylä University Library reserved for the use of archival materials: https://kirjasto.jyu.fi/en/workspaces/facilities	29
Tekijä ei ole antanut lupaa avoimeen julkaisuun, joten aineisto on luettavissa vain Jyväskylän yliopiston kirjaston arkistotyösemalta. Ks. https://kirjasto.jyu.fi/fi/tyoskentelytilat/laitteet-ja-tilat..	19
The author has not given permission to make the work publicly available electronically. Therefore the material can be read only at the archival workstation at Jyväskylä University Library (https://kirjasto.jyu.fi/en/workspaces/facilities).	19
Acceso libre	17
Tekijä ei ole antanut lupaa avoimeen julkaisuun, joten aineisto on luettavissa vain Jyväskylän yliopiston kirjaston arkistotyösemalta. Ks. https://kirjasto.jyu.fi/kokoelmat/arkistotyoasema..	16
The author has not given permission to make the work publicly available electronically. Therefore the material can be read only at the archival workstation at Jyväskylä University Library (https://kirjasto.jyu.fi/collections/archival-workstation).	16
info:eu-repo/semantics/embargoAccess	12
	8
Luettavissa tekijänoikeudellisista syistä vain Jyväskylän yliopiston Tietojenkäsittelytieteiden laitoksella.	8
This material has a restricted access due to copyright reasons.	8
embargoedAccess	7
"Tekijä ei ole antanut lupaa avoimeen julkaisuun, joten aineisto on luettavissa vain Jyväskylän yliopiston kirjaston <a href=""https://kirjasto.jyu.fi/fi/tyoskentelytilat/laitteet-ja-tilat"">arkistotyöasemalta</a>."	3
"<br><br>The author has not given permission to make the work publicly available electronically. Therefore the material can be read only at the archival <a href=""https://kirjasto.jyu.fi/en/workspaces/facilities"">workstation</a> at Jyväskylä University Library reserved for the use of archival materials."	3
OpenAccess	3
info:eu-repo/semantics/openAccesso	2
PDF	2
"Pääsyä osaan aineistoa on rajoitettu. Aineisto on luettavissa Jyväskylän yliopiston kirjaston <a href=""https://kirjasto.jyu.fi/fi/tyoskentelytilat/laitteet-ja-tilat"">arkistotyöasemalta</a>."	2
"<br><br>Part of the work has restricted access. Therefore the material can be read only at the archival <a href=""https://kirjasto.jyu.fi/en/workspaces/facilities"">workstation</a> at Jyväskylä University Library reserved for the use of archival materials."	2
Restricted use due to personal information protection. You can still contact author to ask for a copy of the material.	2
info:eu-repo/semantics/EmbargoAccess	1
This material has a restricted access due to copyright reasons. It can be read at the department responsible for publication of the thesis, or at the archival workstation at Jyväskylä University Library: https://kirjasto.jyu.fi/en/workspaces/facilities.	1
Luettavissa tekijänoikeudellisista syistä vain opinnäytteen julkaisseella laitoksella ja Jyväskylän yliopiston kirjaston arkistotyöasemalta. Ks. https://kirjasto.jyu.fi/fi/tyoskentelytilat/laitteet-ja-tilat.	1
"Aineistoon pääsyä on rajoitettu tekijänoikeussyistä. Aineisto on luettavissa Jyväskylän yliopiston kirjaston <a href=""https://kirjasto.jyu.fi/kokoelmat/arkistotyoasema"">arkistotyöasemalta</a>."	1
"<br><br>This material has a restricted access due to copyright reasons. It can be read at the <a href=""https://kirjasto.jyu.fi/collections/archival-workstation"">workstation</a> at Jyväskylä University Library reserved for the use of archival materials."	1
