name	value
This publication is copyrighted. You may download, display and print it for Your own personal use. Commercial use is prohibited.	433
Julkaisu on tekijänoikeussäännösten alainen. Teosta voi lukea ja tulostaa henkilökohtaista käyttöä varten. Käyttö kaupallisiin tarkoituksiin on kielletty.	373
The author owns the copyright in this thesis, unless stated otherwise.	160
Julkaisu on tekijänoikeussäännösten alainen. Teosta voi lukea ja tulostaa henkilökohtaista käyttöä varten Käyttö kaupallisiin tarkoituksiin on kielletty.	34
© the Authors, 2018	21
Julkaisu on tekijän oikeussännön alainen. Teosta voi lukea ja tulostaa henkilökohtaista käyttöä kvarten Käyttö kaupallisiin tarkoituksiin on kielletty.	20
© 2021 the Authors	14
© Kieliverkosto ja kirjoittajat	13
© 2022 the Authors	9
© 2023 the Authors	9
© The Author(s) 2019	9
© The Author(s) 2022	8
Julkaisu on tekijänoikeussäännösten alainen. Teosta voi lukea ja tulostaa henkilökohtaista käyttöä kvarten Käyttö kaupallisiin tarkoituksiin on kielletty.	6
© Business and Organization Ethics Network (BON)	6
© Kirjoittajat ja Prologos ry	4
© Kirjoittaja, 2020	4
© The Author(s) 2023	4
© Kirjoittaja, 2019	4
© Authors, 2022	4
© Authors, 2020	4
true	3
© 2013 American Physical Society. Published in this repository with the kind permission of the publisher.	3
© Kirjoittaja ja Prologos ry	3
© 2020 the Authors	3
© Authors 2023	3
© 2023 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group	3
© The Author & University of Jyväskylä	3
© Kirjoittaja, 2022	3
© 2021 by the authors. Licensee MDPI, Basel, Switzerland.	3
© 2018 The Authors	3
© 2017 American Physical Society. Published in this repository with the kind permission of the publisher.	3
© The Author(s) 2021	3
© Kirjoittajat & Jyväskylän yliopisto, 2020	2
© 2020 American Physical Society	2
© 2021 by the authors. Licensee MDPI, Basel, Switzerland	2
© Business and Organization Ethics Network (BON), 2019	2
© 2018 Walter de Gruyter GmbH, Berlin/Boston.	2
© 2021 Elsevier	2
© The Author(s) 2022. Published by Oxford University Press on behalf of the European Public Health Association.	2
"© The Author(s). Julkaisu on tekijänoikeussäännösten alainen. Teosta voi lukea
 ja tulostaa henkilökohtaista käyttöä varten. Käyttö
 kaupallisiin tarkoituksiin on kielletty."	2
© Kirjoittajat, 2022	2
© 2020 Elsevier Ltd. All rights reserved.	2
© 2014 Suomen puhe-luki-yhdistys FinRA	2
© Kirjoittajat 2023	2
© 2019 Taylor & Francis	2
©2022 American Physical Society	2
© 2022 Liikuntatieteellinen seura	2
© Kirjoittaja 2023	2
© Author, 2019	2
