name	value
http://creativecommons.org/licenses/by/4.0/	534
https://creativecommons.org/licenses/by/4.0/	332
http://creativecommons.org/licenses/by-nc-nd/4.0/	324
https://creativecommons.org/licenses/by-nc-nd/4.0/	84
http://creativecommons.org/licenses/by-nc/4.0/	60
https://creativecommons.org/licenses/by-nc/4.0/	55
https://hdl.handle.net/1813/59810	32
http://hdl.handle.net/1813/57595	28
http://creativecommons.org/licenses/by/2.0/uk/legalcode	25
http://creativecommons.org/licenses/by/3.0/	22
https://creativecommons.org/licenses/by/3.0/	17
http://creativecommons.org/licenses/by-nc/3.0/	14
http://creativecommons.org/licenses/by-nc-nd/3.0/	13
https://hdl.handle.net/1813/59810.2	10
https://creativecommons.org/licenses/by-nc-sa/4.0/	9
http://creativecommons.org/licenses/by-nc-sa/4.0/	8
http://creativecommons.org/licenses/by-nd/3.0/	7
http://creativecommons.org/licenses/by/2.0	7
https://creativecommons.org/licenses/by-nc/3.0/	6
http://creativecommons.org/licenses/by/3.0	6
http://creativecommons.org/licenses/by/4.0	5
https://hdl.handle.net/1813/102797	5
https://creativecommons.org/licenses/by-sa/4.0/	4
http://www.creativecommons.org/licenses/by-nc/4.0/	4
http://creativecommons.org/licenses/bync-nd/4.0/	4
https://creativecommons.org/licenses/by-nc-nd/3.0/igo/	3
http://creativecommons.org/licenses/by/3.0/au/	3
https://creativecommons.org/licenses/by-nc-nd/3.0/	3
http://creativecommons.org/licenses/by-sa/4.0/	3
https:// creativecommons.org/licenses/by/4.0/	3
https://creativecommons.org/licenses/by-nd/4.0/	2
https://creativecommons.org/licenses/by-nc-sa/3.0/igo	2
https://creativecommons.org/licenses/by-nc/3.0/deed.pt	2
https://creativecommons.org/publicdomain/zero/1.0/	2
http://creativecommons.org/licenses/by-nc-sa/3.0/	2
https://creativecommons.org/licenses/by/4.0	2
http://creativecommons.org/licenses/by-nc-sa/2.1/au/	2
http://www.plos.org/journals/license.html	2
http://creativecommons.org/licenses/by-nc/4.0	1
http://creativecommons.org/licenses/by-nc-sa/2.5/	1
http://creativecommons.org/licenses/by/2.0/	1
http://www.nationalarchives.gov.uk/doc/open-government-licence/	1
http://creativecommons.org/licenses/by-sa/3.0/	1
http://creativecommons.org/licenses/by-nc-nd/2.5/	1
https://creativecommons.org/licenses/by-nc/4.0/deed.pt	1
https://creativecommons.org/licenses/by-nc/4.0/deed.en	1
https://creativecommons.org/licenses/by-nc-sa/3.0/	1
http://creativecommons.org/licenses/by-nc/3.0/.	1
https://creativecommons.org/licenses/by/3.0/au/	1
http://www.creativecommons.org/licenses/by-nc/3.0/	1
http://creativecommons.org/licenses/by/2.5/	1
https://creativecommons.org/licenses/by-ncsa/4.0/	1
http://creativecommons.org/licenses/by-nd/4.0/	1
http://creativecommons.org/licences/by/4.0/	1
https://creativecommons.org/licenses/by-nc/3.0/au/	1
http://creativecommons.org/licenses/by-nd/4.0	1
https://creativecommons.org/licenses/by-nc/4.0	1
https:// creativecommons.org/licenses/by/ 4.0/	1
https://creativecommons.org/licenses/by-nc-nd/3.0	1
https://creativecommons.org/licenses/by/4.0/)	1
http://creativecommons.org/licenses/BY/4.0/	1
https://creativecommons.org/licenses/by-nc-sa/4.0	1
http://creativecommons.org/licenses/by-nc-nd/4.0/)	1
https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/	1
http://creativecommons.org/licenses/by-nc-nd/4.0/legalcode	1
https://creativecommons.org/licenses/by-nc-sa/3.0/igo/	1
https://hdl.handle.net/1813/103637	1
https://hdl.handle.net/1813/67107	1
https://hdl.handle.net/1813/62592	1
