record.access_arrangements	count
Access to this dataset is available to bona fide researchers on request, subject to signing a non-disclosure agreement.	1
Data available under a CC-BY Licence	1
Access to the data will be made available on 15th May 2015	1
All data are available for download under a Creative Commons Attribution (CC-BY) 4.0 licence.	1
Video files are made available under a CC-BY Licence.  Software is made available under a GNU GPLv3 Licence.	1
Access to data embargoed until April 2016 to allow for completion of study.  Researchers wishing to gain access ahead of this date should contact the creator.	1
All data are available for immediate download.	1
All data are openly available for download.	1
All files available under CC-BY 4.0 licence.	1
None	1
All data are available under a Creative Commons Attribution 4.0 licence.	1
If you require access to these data, please use the request access button.	1
Data must not be re-published without consent and attribution	1
Article and supplementary info is Gold open access. Data set is openly available.	1
Data access is subject to an non-disclosure agreement (NDA) and approval from the collaborating company. The collaborating company will securely store the data for 10 years, in line with EPSRC guidance.	1
Data are available as supporting material to the open access article.	1
Due to the type of consent participants gave, only researchers may access the data subject to a data access agreement, and the data will be destroyed five years after the study ended, which will be 16/12/2019.	1
All data files available under a CC-BY 4.0 licence.	1
The data sets have been publicly available since publication of the paper:
Gabe-Thomas, E., Walker, I., Verplanken, B., & Shaddick, G. (2016) Householders’ Mental Models of Domestic Energy Consumption: Using a Sort-and-Cluster Method to Identify Shared Concepts of Appliance Similarity. Plos One.  http://doi.org/10.1371/journal.pone.0158949	1
Transcripts are openly available, but audio recordings are restricted to the original researcher.	1
Data will be restricted pending publication of the associated paper.	1
This dataset will be openly available for download after publication of the associated paper	1
Videos are made available under a Creative Commons Attribution - No Derivatives (CC-BY-ND 4.0) licence.  Additional permission is also granted to transcribe the content and adapt, transform and build upon any transcription made for any purpose.  You must give appropriate credit for use of the materials in this manner.	1
This version of the document includes incorrect data in some cells.  The current version is available for download under a Creative Commons Attribution (CC BY) licence at https://doi.org/10.15125/BATH-00176. If you specifically require access to this incorrect version, please contact us using the Request Access button.	1
All data are available under a Creative Commons Attribution 4.0 (CC-BY) licence.	1
The condition for use of these models is that the following publication is cited:

A.R.MacLeod, H.Rose, H.S.Gill, A Validated Open-Source Multi-Solver Fourth Generation Composite Femur Model, Journal of Biomechanical Engineering, 2016	1
Licenced under Creative Commons Atribution 4.0 International	1
Accessible only to University of Bath staff, or to staff from other Universities on a case by case basis with request handled by Dept Elec Eng.	1
All data available under a CC-BY 4.0 licence	1
An updated version of the spreadsheet "Numerical data for Kidger et al 2017.xlsx" is available on request.  Please use the request button if you would like a copy.	1
Access to the MATLAB data file is available upon request.	1
No restrictions nor limits on access to the dataset	1
This dataset has been superseded by https://doi.org/10.15125/BATH-00365	1
These data are openly available for use under a CC-BY 4.0 licence.	1
The database will be made openly available for download following its completion.  For any queries about the data before it is available, please contact the Archive using the Request Access button.	1
All data are available under a CC-BY 4.0 Licence	1
Data access is subject to a volunteer agreement being returned.	1
Licenced under Creative Commons Attribution 4.0 International	1
CC-0 Public Domain Waiver.  When using this data, please cite the original article:

Stoltzfus A, O'Meara B, Whitacre J, Mounce R, Gillespie EL, Kumar S, Rosauer DF, Vos RA (2012) Sharing and re-use of phylogenetic trees (and associated data) to facilitate synthesis. BMC Research Notes 5: 574. doi:10.1186/1756-0500-5-574 

Additionally, please cite the Dryad data package:

Stoltzfus A, O'Meara B, Whitacre J, Mounce R, Gillespie EL, Kumar S, Rosauer DF, Vos RA (2012) Data from: Sharing and re-use of phylogenetic trees (and associated data) to facilitate synthesis. Dryad Digital Repository. doi:10.5061/dryad.h6pf365t	1
N/A	1
Dataset of `data.csv` and `readme.txt` should be openly available
Image `monitored_block-image.jpg` should be provided only upon request and previous agreement with conditions described in the the file's metadata.	1
No restrictions	1
All files available under CC-BY-SA 4.0 licence.	1
Data licenced under Creative Commons: Attribution 4.0.

Code licenced under Software: GNU GPL 3.0	1
If using this dataset please cite the article: Manufacture and characterization of porous ferroelectrics for energy harvesting applications, Ferroelectrics, 498 (2016) 40-46	1
If using this dataset please cite the article: Modelling and fabrication of porous sandwich layer barium titanate with improved piezoelectric energy harvesting figures of merit, Acta Materialia 128 (2017) 207-217.	1
If using data please cite the article: Ultra-high discharged energy density capacitor using high aspect ratio Na0.5Bi0.5TiO3 nanofibers, Journal of Materials Chemistry A, 5 (2017) 7091-7102.	1
Please cite the following article if using this dataset: Breakdown in the case for materials with giant permittivity? ACS Energy Letters 2 (10), 2264-2269.	1
The source code and data, but not the text of the articles, are released under a Creative Commons CC BY-SA 4.0 license. If you make use of the source code and/or data in an academic or commercial context, you should acknowledge this by including a reference or citation to the article "Variations of geometric invariant quotients for pairs, a computational approach" — in the case of the code — or to "Moduli of cubic surfaces and their anticanonical divisors" — in the case of the data for cubic surfaces. See the file license.txt for the full license text.	1
License information - Software: MIT License (code) and Creative Commons: Attribution 4.0 (data)	1
Data licenced under Creative Commons: Attribution 4.0	1
The data are available in two forms. The openly accessible version shows only the country and (for some countries) the region where the respondent is practising. A second version shows, in addition, information about the respondents' gender and years since graduation, and the size and type of their practice; due to concerns over the potential for reidentification of participants from this information, it is available only on request.	1
Data under licence:  Creative Commons Attribution 4.0 International	1
Creative Commons Attribution 4.0 International	1
