record.license.title	count
Creative Commons Attribution-NonCommercial 3.0 Spain	1
Creative Commons Attribution-Share Alike 3.0	1
Creative Commons Attribution-Noncommercial-Share Alike 3.0	2
Creative Commons Attribution-No Derivative Works 3.0	2
Creative Commons Attribution-NonCommercial 3.0 New Zealand	2
Licence in preparation	2
Creative Commons Attribution-NonCommercial 4.0 International	3
Creative Commons Attribution-NonCommercial-ShareAlike 3.0 New Zealand	3
Creative Commons Attribution-ShareAlike 4.0 International	4
Creative Commons Attribution-Share Alike 3.0 New Zealand	4
Creative Commons Attribution-NonCommercial-NoDerivs 3.0 New Zealand	7
Creative Commons Attribution-NoDerivatives 4.0 International	7
Creative Commons Attribution-No Derivative Works 3.0 New Zealand	10
Creative Commons Attribution-Noncommercial 3.0	13
Creative Commons Attribution-Noncommercial-No Derivative Works 3.0	13
Open Government Licence 2.0 (Canada)	22
Creative Commons Attribution 3.0 Australia	36
NATIONALMAP - STANDARD TERMS OF LICENCE	58
Open Government License 3.0 (UK)	59
Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International	168
Landcare Data Use License 	179
Creative Commons Attribution 3.0	628
Creative Commons Attribution 3.0 New Zealand	1754
Creative Commons Attribution 4.0 International	3726
